序号,出发站,到达站,时间
137,前锋路,昭觉寺南路,2025.12.23 17:45
138,梁家巷,建设北路,2025.12.24 18:38
139,建设北路,梁家巷,2025.12.24 17:06
140,红星桥,春熙路,2025.12.26 18:07
141,龙安,建设北路,2025.12.28 22:33
142,建设北路,龙华寺,2025.12.28 17:18
143,踏水桥,人民北路,2025.12.28 12:09
144,庆安,建设北路,2026.01.01 17:18
145,建设北路,庆安,2026.01.01 13:40
146,幸福梅林,建设北路,2026.01.02 19:45
147,建设北路,娇子立交,2026.01.02 16:17
148,天府三街,建设北路,2026.01.05 20:41
149,建设北路,天府三街,2026.01.05 17:22
150,前锋路,建设北路,2026.01.06 21:19
151,幸福梅林,三官堂,2026.01.07 20:23
152,建设北路,娇子立交,2026.01.07 17:27
153,人民塘,建设北路,2026.01.09 14:18
154,同乐,圣灯公园,2026.01.09 13:43
155,前锋路,金华寺东路,2026.01.09 12:05
156,建设北路,双流机场2航站楼东,2026.01.12 11:17
157,天府机场1号2号航站楼,建设北路,2026.01.17 16:11
158,市二医院,前锋路,2026.01.18 18:21
159,娇子立交,建设北路,2026.01.19 20:47
160,建设北路,成都行政学院,2026.01.19 16:52
161,建设北路,东门大桥,2026.01.20 17:08
162,玉双路,建设北路,2026.01.21 18:52
163,前锋路,市二医院,2026.01.21 17:21
164,春熙路,九眼桥,2026.01.22 20:30
165,天府广场,红星桥,2026.01.22 17:51
166,梁家巷,春熙路,2026.01.22 16:14
167,成都东客站,梁家巷,2026.01.22 15:20
168,建设北路,成都东客站,2026.01.22 14:21
169,太升南路,前锋路,2026.01.22 12:10
170,前锋路,太升南路,2026.01.22 11:31
171,锦城广场东,建设北路,2026.01.23 20:23
172,双流机场2航站楼,锦城广场东,2026.01.23 17:49
173,建设北路,成都东客站,2026.01.23 09:01
174,天府广场,成都西站,2026.01.24 17:38
175,建设北路,天府广场,2026.01.24 15:15
176,成都东客站,建设北路,2026.01.25 23:32
177,前锋路,春熙路,2026.01.28 18:17
178,建设北路,市二医院,2026.01.28 12:22
179,双桥路,前锋路,2026.01.29 20:12
180,建设北路,双桥路,2026.01.29 17:00
181,建设北路,红星桥,2026.01.29 11:10
182,双桥路,建设北路,2026.01.30 18:01
183,东郊记忆,双桥路,2026.01.30 12:07
184,前锋路,双桥路,2026.01.31 13:40
185,双桥路,建设北路,2026.02.01 20:46
186,建设北路,双桥路,2026.02.01 17:37
187,人民公园,建设北路,2026.02.01 16:00
188,双桥路,建设北路,2026.02.02 22:33
189,春熙路,双桥路,2026.02.02 18:02
190,前锋路,春熙路,2026.02.02 16:02
191,双桥路,红星桥,2026.02.03 22:17
192,建设北路,芳草街,2026.02.03 13:40
193,双桥路,建设北路,2026.02.04 21:31
194,前锋路,省体育馆,2026.02.04 12:50
195,双桥路,建设北路,2026.02.05 21:37
196,新南门,省体育馆,2026.02.05 13:08
197,建设北路,玉双路,2026.02.05 11:31
198,省体育馆,春熙路,2026.02.06 17:10
199,前锋路,省体育馆,2026.02.06 13:31
200,西博城,太升南路,2026.02.07 19:40
201,火车南站,西博城,2026.02.07 12:49
202,春熙路,前锋路,2026.02.09 21:48
203,前锋路,春熙路,2026.02.09 18:14
204,西博城,建设北路,2026.02.09 17:16
205,火车南站,西博城,2026.02.09 12:50
206,西博城,建设北路,2026.02.10 19:43
207,建设北路,西博城,2026.02.10 14:05
208,城隍庙,建设北路,2026.02.10 11:37
209,芳草街,成都东客站,2026.02.11 12:07
210,成都东客站,建设北路,2026.02.24 15:42
